Content ID,Title,Track,Source,Reviewer,Review Status,Review Date,Comments,Approval State
B1-KU-001,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-002,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-003,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-004,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-005,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-006,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-007,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-008,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-009,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-010,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-011,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-012,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-013,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-014,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-015,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-016,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-017,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-018,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-019,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-020,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-021,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-022,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-023,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-024,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-025,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-026,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-027,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-028,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-029,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-030,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-031,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-032,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-033,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-034,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-035,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-036,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-037,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-038,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-039,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-040,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-041,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-042,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-043,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-044,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-045,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-046,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-047,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-048,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-049,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-050,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-051,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-052,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-053,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-054,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-055,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-056,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-057,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-058,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-059,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-060,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-061,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-062,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-063,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-064,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-065,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-066,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-067,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
B1-KU-068,NOT_SUPPLIED,NOT_SUPPLIED,NOT_SUPPLIED,UNASSIGNED,pending-intake,,Structure-only review-queue placeholder; no source or medical content loaded.,NOT_APPROVED
