mapping_id	source_id	source_path	source_sha256	sha_status	observed_sha256	pathway_location	domain_candidate	content_type_candidate	target_contract	mapping_status	blockers	observed_review	source_preserved	content_modified
MAP-7.5-SRC-0003	SRC-0003	02_Internship/Assessments/Assessment_Structure.md	8c1df6ff33d01eaa58d996ca218485701db3b25afdc3c0aee3eb3f30227de7f2	MATCH	8c1df6ff33d01eaa58d996ca218485701db3b25afdc3c0aee3eb3f30227de7f2	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0004	SRC-0004	02_Internship/Assessments/README.md	c09e38390df246d1702365db11796e05fef1e378d9e71bcfb766831ac778246a	MATCH	c09e38390df246d1702365db11796e05fef1e378d9e71bcfb766831ac778246a	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Assessment	question_bank	question_bank	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0007	SRC-0007	02_Internship/Clinical_Rotations/Emergency_Basics/Emergency_Basics_Intern_Framework.md	6905896a44c7cd82696876ca5d6e4a7e0ca969d3d9af4e524390d26a0abc90fd	MATCH	6905896a44c7cd82696876ca5d6e4a7e0ca969d3d9af4e524390d26a0abc90fd	Clinical Foundation > Emergency Basics	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0008	SRC-0008	02_Internship/Clinical_Rotations/Emergency_Basics/README.md	4e70507f9248eb1e8babef0a7d0882989c2609934725cfd4b757a16474560a86	MATCH	4e70507f9248eb1e8babef0a7d0882989c2609934725cfd4b757a16474560a86	Clinical Foundation > Emergency Basics	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0010	SRC-0010	02_Internship/Clinical_Rotations/Internal_Medicine/Rotation_Objectives.md	8c5ba43ad4d14a788f8f152a8fab65e9bb2c5478404538726a22106c66626988	MATCH	8c5ba43ad4d14a788f8f152a8fab65e9bb2c5478404538726a22106c66626988	Core Rotations > Internal Medicine	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0012	SRC-0012	02_Internship/Clinical_Rotations/Obstetrics_Gynecology/Rotation_Objectives.md	6028f47c68a813428aa563166e93cd28bc18cb082eee7437e8993d3938dd8bef	MATCH	6028f47c68a813428aa563166e93cd28bc18cb082eee7437e8993d3938dd8bef	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Learning Content	lesson	lesson	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0014	SRC-0014	02_Internship/Clinical_Rotations/Pediatrics/Rotation_Objectives.md	4e179a35361f619bc63d495d871473d6cbad232c71188956f4ea23015de4ba72	MATCH	4e179a35361f619bc63d495d871473d6cbad232c71188956f4ea23015de4ba72	Core Rotations > Pediatrics	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0015	SRC-0015	02_Internship/Clinical_Rotations/README.md	94d6b002261f320a9c8e71188926204837e5918d073a40e170b3d3b50a31b62a	MATCH	94d6b002261f320a9c8e71188926204837e5918d073a40e170b3d3b50a31b62a	UNRESOLVED — no unique pathway location supported by Phase 5.6 evidence	Learning Content	lesson	lesson	BLOCKED	PATHWAY_LOCATION_UNRESOLVED;SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=UNRESOLVED_REVIEW	true	false
MAP-7.5-SRC-0017	SRC-0017	02_Internship/Clinical_Rotations/Surgery/Rotation_Objectives.md	1cc4aa679dce0c3ef1fc9f1a8abd193945041804296e044c524a292b0f0a348a	MATCH	1cc4aa679dce0c3ef1fc9f1a8abd193945041804296e044c524a292b0f0a348a	Core Rotations > Surgery	Learning Content	lesson	lesson	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
MAP-7.5-SRC-0019	SRC-0019	02_Internship/Clinical_Skills/Clinical_Skills_Internship_Framework.md	2ee9c201e9e431fac17ab1644bfb826ecfd5d546683acc5ec128b8482ab10d27	MATCH	2ee9c201e9e431fac17ab1644bfb826ecfd5d546683acc5ec128b8482ab10d27	Clinical Foundation > Clinical Skills	Skills / Procedures	clinical_skill	Skills schema candidate — explicit contract required	BLOCKED	SOURCE_VERSION_MISSING;PUBLISHER_OR_OWNER_MISSING;RIGHTS_METADATA_MISSING;TRACK_UNCONFIRMED;TAXONOMY_UNSUPPLIED;REVIEW_NOT_PERFORMED;CONTENT_LOCATOR_UNVERIFIED	clinical_review_status=NOT_PERFORMED; mapping_status=CANDIDATE_REVIEW_REQUIRED	true	false
