source_id	target_type	record_mapping_status	metadata_status	blockers	candidate_record_id	source_path	sha256	duplicate_lineage	duplicate_role	medical_review_status	rights_status	closure_status
SRC-0003	question_bank	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;QUESTION_FIELDS_NOT_EXTRACTED_BY_SCOPE;PATHWAY_LOCATION_UNRESOLVED_IN_INPUT_HANDOFF	CAND-7.6-SRC-0003	02_Internship/Assessments/Assessment_Structure.md	8c1df6ff33d01eaa58d996ca218485701db3b25afdc3c0aee3eb3f30227de7f2	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0004	question_bank	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;QUESTION_FIELDS_NOT_EXTRACTED_BY_SCOPE;PATHWAY_LOCATION_UNRESOLVED_IN_INPUT_HANDOFF	CAND-7.6-SRC-0004	02_Internship/Assessments/README.md	c09e38390df246d1702365db11796e05fef1e378d9e71bcfb766831ac778246a	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0007	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0007	02_Internship/Clinical_Rotations/Emergency_Basics/Emergency_Basics_Intern_Framework.md	6905896a44c7cd82696876ca5d6e4a7e0ca969d3d9af4e524390d26a0abc90fd	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0008	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0008	02_Internship/Clinical_Rotations/Emergency_Basics/README.md	4e70507f9248eb1e8babef0a7d0882989c2609934725cfd4b757a16474560a86	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0010	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0010	02_Internship/Clinical_Rotations/Internal_Medicine/Rotation_Objectives.md	8c5ba43ad4d14a788f8f152a8fab65e9bb2c5478404538726a22106c66626988	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0012	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE;PATHWAY_LOCATION_UNRESOLVED_IN_INPUT_HANDOFF	CAND-7.6-SRC-0012	02_Internship/Clinical_Rotations/Obstetrics_Gynecology/Rotation_Objectives.md	6028f47c68a813428aa563166e93cd28bc18cb082eee7437e8993d3938dd8bef	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0014	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0014	02_Internship/Clinical_Rotations/Pediatrics/Rotation_Objectives.md	4e179a35361f619bc63d495d871473d6cbad232c71188956f4ea23015de4ba72	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0015	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE;PATHWAY_LOCATION_UNRESOLVED_IN_INPUT_HANDOFF	CAND-7.6-SRC-0015	02_Internship/Clinical_Rotations/README.md	94d6b002261f320a9c8e71188926204837e5918d073a40e170b3d3b50a31b62a	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0017	lesson	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;LESSON_CONTENT_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0017	02_Internship/Clinical_Rotations/Surgery/Rotation_Objectives.md	1cc4aa679dce0c3ef1fc9f1a8abd193945041804296e044c524a292b0f0a348a	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
SRC-0019	clinical_skill	PREPARED_PROVISIONAL_NOT_PRODUCTION	PARTIAL	OWNER_NOT_SUPPLIED;PUBLISHER_NOT_SUPPLIED;SOURCE_VERSION_NOT_SUPPLIED;TAXONOMY_ID_AND_VERSION_NOT_SUPPLIED;RIGHTS_SCOPE_NOT_CLASSIFIED;PRECISE_CONTENT_LOCATOR_NOT_SUPPLIED;PATHWAY_TRACK_REQUIRES_EXPLICIT_SOURCE_CONFIRMATION;EXTERNAL_CLINICAL_APPROVAL_NOT_CLAIMED;CLINICAL_SKILL_FIELDS_NOT_EXTRACTED_BY_SCOPE	CAND-7.6-SRC-0019	02_Internship/Clinical_Skills/Clinical_Skills_Internship_Framework.md	2ee9c201e9e431fac17ab1644bfb826ecfd5d546683acc5ec128b8482ab10d27	NO_DUPLICATE_MARKER_IN_INPUT_HANDOFF	NOT_APPLICABLE	OWNER_REVIEW_AVAILABLE_PENDING_RECORDIZATION	PENDING_SCOPE_CLASSIFICATION	OPEN
